               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097914,            0.024768,            0.036357,           0.0016925,           0.0039683,          0.00065766,          0.00016959,             0.10258,            0.047424,            0.045215,            0.070142,           0.0033176,           0.0033176
                   1,            0.092037,            0.025863,            0.032507,           0.0062437,            0.054239,           0.0032218,          0.00088166,            0.094115,            0.019867,             0.03178,            0.039977,           0.0064863,           0.0064863
                   2,            0.083512,            0.025911,            0.022101,            0.049023,             0.31067,            0.037971,            0.014752,            0.084275,            0.051944,            0.030146,           0.0096473,           0.0094901,           0.0094901
                   3,            0.074953,            0.024935,            0.015706,             0.63489,             0.21981,             0.17706,            0.068902,            0.071567,            0.021228,            0.020434,           0.0092575,           0.0092575,           0.0092575
                   4,            0.068468,            0.023865,            0.012351,             0.32663,             0.31251,             0.29596,             0.13245,            0.062192,            0.019671,            0.011329,           0.0092575,           0.0092575,           0.0092575
                   5,             0.06298,              0.0231,            0.010273,             0.76092,             0.34301,             0.38919,             0.17428,            0.056666,            0.018673,           0.0066237,             0.00901,             0.00901,             0.00901
                   6,            0.058395,            0.022086,            0.008382,             0.48832,             0.47356,             0.46146,             0.19816,            0.054645,             0.02065,           0.0074964,           0.0087625,           0.0087625,           0.0087625
                   7,            0.055292,            0.021436,           0.0075801,             0.51321,             0.50249,              0.5054,             0.23146,            0.050317,            0.017999,            0.005204,            0.008515,            0.008515,            0.008515
                   8,            0.052062,            0.021372,           0.0071206,             0.66933,              0.5039,             0.57681,             0.28047,            0.047589,            0.017357,           0.0047663,           0.0082675,           0.0082675,           0.0082675
                   9,            0.050403,            0.020427,           0.0063471,             0.54867,             0.54227,             0.54548,             0.25983,            0.048937,            0.017018,           0.0053772,             0.00802,             0.00802,             0.00802
                  10,            0.048998,            0.020155,           0.0056074,             0.50119,             0.57112,             0.56361,             0.28996,            0.047399,             0.01696,           0.0053925,           0.0077725,           0.0077725,           0.0077725
                  11,            0.047215,            0.019509,           0.0054264,             0.62692,             0.63772,             0.65026,             0.33899,             0.04284,            0.016137,           0.0040539,            0.007525,            0.007525,            0.007525
                  12,             0.04507,            0.018948,           0.0049234,             0.66643,             0.62177,              0.6558,             0.33875,             0.04225,            0.015678,           0.0037787,           0.0072775,           0.0072775,           0.0072775
                  13,            0.044078,            0.018562,           0.0045296,             0.67223,             0.63509,             0.65915,             0.35959,            0.041107,             0.01602,           0.0047362,             0.00703,             0.00703,             0.00703
                  14,            0.043382,            0.018805,            0.004395,             0.61182,             0.67065,             0.68078,             0.36012,            0.041737,            0.015642,           0.0041067,           0.0067825,           0.0067825,           0.0067825
                  15,            0.042066,            0.018302,           0.0039876,             0.73689,             0.63841,             0.69733,             0.38012,             0.04009,              0.0155,           0.0042429,            0.006535,            0.006535,            0.006535
                  16,            0.040696,             0.01786,           0.0037946,             0.71372,              0.6328,             0.68314,             0.38292,            0.039872,            0.015642,           0.0043871,           0.0062875,           0.0062875,           0.0062875
                  17,            0.040616,            0.018333,           0.0036651,             0.76073,              0.6756,             0.72601,             0.40429,            0.039269,            0.014488,           0.0034698,             0.00604,             0.00604,             0.00604
                  18,            0.039601,            0.017634,           0.0037329,             0.66472,             0.71646,             0.73286,             0.41692,            0.037949,            0.014939,            0.003538,           0.0057925,           0.0057925,           0.0057925
                  19,            0.038642,            0.017067,           0.0035557,             0.68226,             0.71412,             0.74211,             0.41378,            0.038076,            0.014805,           0.0033926,            0.005545,            0.005545,            0.005545
                  20,            0.038031,            0.017004,           0.0034758,             0.66158,             0.72318,             0.73468,             0.40879,            0.037968,            0.014857,           0.0038906,           0.0052975,           0.0052975,           0.0052975
                  21,            0.037899,            0.016818,           0.0032584,             0.69753,             0.71517,             0.73868,             0.42069,            0.036958,            0.014509,           0.0034739,             0.00505,             0.00505,             0.00505
                  22,            0.036783,            0.016417,           0.0032644,             0.72941,             0.72777,             0.75856,             0.44122,            0.036693,            0.014011,           0.0033814,           0.0048025,           0.0048025,           0.0048025
                  23,            0.036465,            0.016555,            0.003104,             0.69458,             0.74233,             0.75064,             0.43732,            0.036787,            0.014102,           0.0034414,            0.004555,            0.004555,            0.004555
                  24,            0.036026,            0.016206,           0.0026646,             0.73509,             0.75576,              0.7581,             0.43587,            0.037006,            0.013925,            0.003397,           0.0043075,           0.0043075,           0.0043075
                  25,            0.035749,            0.016146,           0.0028074,             0.72822,              0.7428,             0.76357,             0.44939,             0.03589,            0.014181,           0.0034203,             0.00406,             0.00406,             0.00406
                  26,            0.034849,            0.016004,           0.0028053,             0.71987,             0.73629,             0.76827,             0.45208,             0.03634,            0.014019,           0.0033435,           0.0038125,           0.0038125,           0.0038125
                  27,            0.034754,            0.015826,           0.0029201,             0.72357,             0.76453,              0.7742,             0.46013,            0.035322,            0.013799,           0.0030296,            0.003565,            0.003565,            0.003565
                  28,            0.034204,            0.015612,           0.0024908,             0.69084,             0.75234,             0.78331,             0.46291,            0.036031,            0.014082,           0.0033169,           0.0033175,           0.0033175,           0.0033175
                  29,             0.03386,            0.015763,           0.0025048,             0.73689,             0.74797,             0.78548,             0.46797,            0.035275,            0.013469,           0.0031074,             0.00307,             0.00307,             0.00307
                  30,            0.033028,            0.015349,           0.0025027,             0.75017,             0.75167,             0.79135,              0.4709,            0.035195,            0.013754,           0.0031299,           0.0028225,           0.0028225,           0.0028225
                  31,            0.032529,            0.015247,           0.0023749,             0.71058,             0.75674,             0.79074,              0.4848,            0.034332,            0.013672,           0.0030523,            0.002575,            0.002575,            0.002575
                  32,            0.032367,            0.014992,           0.0023361,             0.76473,              0.7489,             0.79612,             0.48205,             0.03445,            0.013725,           0.0031943,           0.0023275,           0.0023275,           0.0023275
                  33,            0.032152,            0.014849,           0.0022818,             0.76256,             0.74966,             0.78741,             0.48261,            0.034596,            0.013634,           0.0033098,             0.00208,             0.00208,             0.00208
                  34,            0.031825,            0.014926,           0.0020079,             0.75966,             0.73984,             0.79394,             0.48587,            0.034422,            0.013717,           0.0031662,           0.0018325,           0.0018325,           0.0018325
                  35,            0.031211,            0.014735,           0.0020648,             0.71109,             0.77471,             0.79667,             0.48803,            0.034611,            0.013622,           0.0030398,            0.001585,            0.001585,            0.001585
                  36,            0.030905,            0.014561,           0.0022075,              0.7869,             0.72968,             0.79593,             0.49483,            0.034389,            0.013372,           0.0030166,           0.0013375,           0.0013375,           0.0013375
                  37,            0.030694,            0.014488,           0.0019655,             0.76775,             0.74379,             0.79525,             0.48737,            0.034205,            0.013399,           0.0030209,             0.00109,             0.00109,             0.00109
                  38,            0.030568,             0.01466,           0.0018544,             0.73574,             0.77555,             0.79705,             0.50207,             0.03409,            0.013445,           0.0030354,           0.0008425,           0.0008425,           0.0008425
                  39,            0.029789,            0.013868,           0.0020984,             0.73731,              0.7686,              0.7971,             0.49816,            0.033872,            0.013424,           0.0030094,            0.000595,            0.000595,            0.000595
